OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,ShippingCost,Region,PaymentMethod
10002,2024-04-16,C1570,P1009,5,3193,0,28.75,R001,COD
10022,2024-01-10,C1152,P1020,3,1039,10,69.89,R001,UPI
10024,2024-01-20,C1782,P1029,2,4723,0,161.4,R001,UPI
10026,2024-03-03,C1732,P1027,4,3348,0,115.96,R001,UPI
10028,2024-06-13,C1188,P1008,4,4823,10,81.84,R001,Credit Card
10033,2024-02-08,C1511,P1043,4,3422,15,145.47,R001,UPI
10039,2024-02-01,C1136,P1046,5,2728,0,159.91,R001,UPI
10040,2024-03-17,C1777,P1012,3,3726,15,82.17,R001,Net Banking
10041,2024-06-20,C1882,P1037,2,4039,10,158.44,R001,Net Banking
10042,2024-03-15,C1694,P1013,1,2756,5,94.9,R001,Net Banking
10043,2024-04-22,C1769,P1024,2,2816,0,148.91,R001,Net Banking
10044,2024-06-20,C1291,P1026,1,3408,0,75.18,R001,UPI
10049,2024-02-16,C1648,P1045,5,500,5,76,R001,COD
10050,2024-01-29,C1260,P1045,3,500,0,182.18,R001,Net Banking
10053,2024-01-31,C1761,P1016,5,3694,20,73.43,R001,UPI
10055,2024-03-08,C1388,P1024,3,2816,15,41.6,R001,Debit Card
10057,2024-02-23,C1941,P1003,5,3872,5,149.66,R001,Net Banking
10058,2024-04-18,C1551,P1039,1,3016,10,68.18,R001,Net Banking
10064,2024-05-30,C1201,P1021,5,3949,10,161.68,R001,Credit Card
10068,2024-05-08,C1702,P1025,4,2588,0,98.78,R001,UPI
10069,2024-03-08,C1163,P1033,5,1800,5,39.99,R001,COD
10076,2024-06-22,C1373,P1042,3,1242,20,191.88,R001,Credit Card
10083,2024-06-30,C1308,P1030,4,1701,15,46.79,R001,COD
10085,2024-04-28,C1215,P1041,1,3836,20,162.43,R001,COD
10089,2024-03-06,C1594,P1048,4,2546,15,110.82,R001,Debit Card
10095,2024-06-19,C1779,P1047,3,4706,5,46.98,R001,Debit Card
10096,2024-05-13,C1489,P1028,3,324,5,101.02,R001,COD
10098,2024-05-16,C1665,P1007,2,4897,5,81.92,R001,COD
10101,2024-02-21,C1579,P1009,5,3193,0,139.43,R001,Net Banking
10102,2024-03-21,C1629,P1017,5,4392,20,186.24,R001,COD
10103,2024-02-10,C1028,P1049,4,4020,0,144.91,R001,Credit Card
10105,2024-05-27,C1021,P1039,2,3016,5,123.99,R001,Credit Card
10106,2024-06-16,C1743,P1026,1,3408,0,76.03,R001,Credit Card
10113,2024-05-09,C1223,P1013,5,2756,15,47.68,R001,Net Banking
10120,2024-01-28,C1808,P1002,4,4339,15,153.73,R001,Debit Card
10126,2024-06-28,C1313,P1037,1,4039,0,38.56,R001,Debit Card
10127,2024-03-06,C1937,P1002,1,4339,10,81.64,R001,COD
10138,2024-04-16,C1343,P1002,1,4339,15,38.71,R001,COD
10144,2024-06-29,C1638,P1013,5,2756,5,175.72,R001,Debit Card
10145,2024-01-11,C1874,P1043,5,3422,0,199.5,R001,COD
10147,2024-01-31,C1627,P1038,2,2937,15,100.48,R001,UPI
10149,2024-04-12,C1648,P1011,5,2225,20,127.63,R001,COD
10151,2024-04-25,C1668,P1021,2,3949,20,77.43,R001,UPI
10152,2024-03-02,C1611,P1048,3,2546,20,113.84,R001,UPI
10154,2024-01-06,C1081,P1009,4,3193,10,162.06,R001,Debit Card
10161,2024-06-08,C1480,P1048,1,2546,20,133.39,R001,Net Banking
10163,2024-06-23,C1329,P1026,4,3408,10,161.98,R001,COD
10165,2024-02-15,C1695,P1003,4,3872,15,46.37,R001,Net Banking
10166,2024-03-16,C1251,P1021,2,3949,10,51.36,R001,Debit Card
10169,2024-03-27,C1823,P1043,2,3422,20,25.19,R001,Debit Card
10171,2024-02-07,C1990,P1022,1,3803,5,191.31,R001,COD
10172,2024-01-21,C1597,P1038,5,2937,10,113.36,R001,Net Banking
10186,2024-05-10,C1727,P1017,5,4392,5,58.93,R001,Net Banking
10189,2024-05-13,C1095,P1035,1,2408,15,66.02,R001,UPI
10193,2024-03-28,C1677,P1035,3,2408,5,149.93,R001,Debit Card
10194,2024-01-03,C1530,P1049,1,4020,0,171.27,R001,COD
10199,2024-03-14,C1806,P1027,2,3348,10,138.64,R001,Credit Card
10200,2024-03-16,C1563,P1014,2,2118,15,82.88,R001,COD
10204,2024-03-09,C1488,P1004,5,2933,0,98.45,R001,COD
10211,2024-04-22,C1271,P1042,3,1242,20,42.86,R001,COD
10212,2024-06-01,C1974,P1011,1,2225,15,70.99,R001,UPI
10213,2024-04-08,C1503,P1039,2,3016,10,114.93,R001,COD
10225,2024-03-13,C1514,P1039,5,3016,5,197.72,R001,Debit Card
10228,2024-03-18,C1702,P1029,2,4723,0,195.95,R001,Credit Card
10231,2024-06-30,C1198,P1012,2,3726,5,56.14,R001,Net Banking
10237,2024-05-14,C1461,P1004,4,2933,15,135.51,R001,Debit Card
10248,2024-05-02,C1643,P1013,1,2756,10,174.22,R001,Debit Card
10252,2024-02-17,C1494,P1022,5,3803,10,72.88,R001,Debit Card
10253,2024-06-03,C1686,P1043,5,3422,5,119.87,R001,Net Banking
10254,2024-01-29,C1883,P1047,5,4706,20,129.86,R001,Debit Card
10255,2024-06-14,C1338,P1020,3,1039,15,28.59,R001,COD
10260,2024-05-13,C1285,P1034,4,4257,5,49.92,R001,COD
10263,2024-01-06,C1921,P1026,5,3408,0,66.36,R001,UPI
10264,2024-02-25,C1653,P1035,1,2408,15,71.85,R001,Net Banking
10268,2024-02-22,C1889,P1030,3,1701,20,58.97,R001,UPI
10269,2024-06-29,C1710,P1027,2,3348,0,96.7,R001,COD
10275,2024-06-23,C1399,P1039,1,3016,0,157.16,R001,Net Banking
10282,2024-03-07,C1388,P1034,4,4257,15,186.09,R001,COD
10292,2024-03-20,C1853,P1010,5,3789,15,50.58,R001,UPI
10300,2024-01-28,C1048,P1015,5,3395,5,84.38,R001,Net Banking
10303,2024-04-19,C1085,P1021,3,3949,20,147.74,R001,COD
10312,2024-03-29,C1043,P1035,3,2408,20,78.99,R001,COD
10314,2024-01-20,C1516,P1007,3,4897,10,128.61,R001,Credit Card
10317,2024-06-27,C1621,P1023,1,3513,0,185.72,R001,COD
10320,2024-05-09,C1767,P1048,4,2546,10,172.98,R001,UPI
10325,2024-05-12,C1310,P1022,5,3803,10,43.53,R001,Net Banking
10327,2024-02-14,C1534,P1043,2,3422,20,185.54,R001,UPI
10328,2024-05-28,C1990,P1010,1,3789,15,164.87,R001,COD
10331,2024-03-22,C1874,P1049,3,4020,5,97.87,R001,COD
10333,2024-06-28,C1991,P1002,4,4339,20,153.33,R001,Debit Card
10337,2024-03-23,C1057,P1008,4,4823,10,31.06,R001,COD
10338,2024-06-09,C1830,P1040,4,3363,15,92.42,R001,UPI
10339,2024-06-15,C1112,P1046,3,2728,10,86.13,R001,COD
10342,2024-02-15,C1546,P1022,5,3803,10,179.69,R001,Credit Card
10351,2024-03-19,C1364,P1037,3,4039,10,182.08,R001,COD
10353,2024-04-15,C1722,P1049,5,4020,0,183.65,R001,Credit Card
10358,2024-01-03,C1014,P1004,5,2933,10,117.21,R001,UPI
10359,2024-05-27,C1418,P1034,4,4257,5,127.06,R001,COD
10360,2024-02-28,C1283,P1040,2,3363,10,32.42,R001,Credit Card
10361,2024-02-26,C1035,P1015,1,3395,20,24.93,R001,Credit Card
10362,2024-04-08,C1639,P1023,5,3513,10,104.1,R001,Credit Card
10368,2024-01-05,C1568,P1039,5,3016,5,185.87,R001,Credit Card
10369,2024-02-15,C1785,P1004,2,2933,10,158.2,R001,Credit Card
10374,2024-01-27,C1744,P1004,4,2933,0,128.68,R001,UPI
10382,2024-02-15,C1697,P1011,3,2225,15,88.05,R001,Net Banking
10383,2024-01-01,C1873,P1044,1,523,15,45.29,R001,COD
10388,2024-06-22,C1106,P1033,4,1800,15,137.87,R001,Net Banking
10390,2024-04-10,C1801,P1036,5,1859,10,75.31,R001,COD
10392,2024-05-04,C1072,P1035,5,2408,10,60.66,R001,UPI
10397,2024-04-26,C1844,P1048,1,2546,20,125.57,R001,Debit Card
10406,2024-03-18,C1855,P1047,5,4706,0,50.61,R001,Net Banking
10407,2024-05-07,C1016,P1039,5,3016,10,83.73,R001,Debit Card
10408,2024-01-27,C1282,P1034,2,4257,5,47.38,R001,Net Banking
10414,2024-05-31,C1361,P1023,1,3513,10,102.91,R001,UPI
10421,2024-01-03,C1486,P1000,1,687,0,148.34,R001,Credit Card
10435,2024-01-06,C1732,P1035,3,2408,10,59.75,R001,Net Banking
10445,2024-03-21,C1728,P1038,2,2937,5,155.3,R001,Net Banking
10451,2024-03-23,C1602,P1036,3,1859,10,88.36,R001,COD
10452,2024-02-10,C1670,P1014,5,2118,5,150.4,R001,Net Banking
10466,2024-01-23,C1791,P1043,1,3422,15,156.02,R001,Credit Card
10472,2024-02-13,C1143,P1019,1,1941,15,177.28,R001,Credit Card
10473,2024-01-27,C1667,P1015,1,3395,15,192.89,R001,Credit Card
10474,2024-06-05,C1169,P1009,2,3193,5,160.92,R001,Net Banking
10475,2024-01-21,C1795,P1045,3,500,10,43.74,R001,UPI
10487,2024-03-17,C1824,P1044,2,523,10,149.91,R001,Credit Card
10488,2024-01-27,C1164,P1006,2,4451,5,191.33,R001,UPI
10489,2024-04-08,C1859,P1000,5,687,0,163.5,R001,Debit Card
10501,2024-05-13,C1479,P1020,4,1039,10,99.99,R001,Net Banking
10503,2024-05-20,C1910,P1046,2,2728,15,156.28,R001,COD
10505,2024-04-05,C1799,P1021,5,3949,20,28.36,R001,Debit Card
10508,2024-02-22,C1529,P1027,4,3348,20,40.47,R001,Credit Card
10517,2024-05-07,C1978,P1029,3,4723,20,119.92,R001,Debit Card
10522,2024-02-28,C1896,P1007,5,4897,15,173.43,R001,Credit Card
10523,2024-05-26,C1653,P1041,1,3836,20,199.77,R001,Net Banking
10524,2024-04-28,C1990,P1016,4,3694,20,22.84,R001,Credit Card
10525,2024-06-19,C1075,P1044,1,523,10,123.12,R001,COD
10529,2024-06-20,C1733,P1018,4,4388,10,31.94,R001,Net Banking
10533,2024-05-31,C1921,P1039,3,3016,0,111.58,R001,UPI
10554,2024-05-15,C1769,P1039,5,3016,5,197.47,R001,Debit Card
10558,2024-06-08,C1225,P1040,3,3363,5,151.57,R001,UPI
10560,2024-04-12,C1998,P1041,3,3836,5,40.44,R001,Debit Card
10568,2024-02-28,C1038,P1035,5,2408,10,50.67,R001,Debit Card
10570,2024-04-26,C1293,P1006,1,4451,5,44.71,R001,Debit Card
10573,2024-02-10,C1403,P1015,4,3395,5,39.52,R001,UPI
10578,2024-02-24,C1460,P1039,5,3016,20,124.81,R001,COD
10580,2024-04-08,C1468,P1008,4,4823,0,170.78,R001,Net Banking
10586,2024-04-18,C1292,P1030,1,1701,0,156.03,R001,Credit Card
10592,2024-04-17,C1541,P1022,1,3803,15,166.58,R001,Credit Card
10593,2024-03-12,C1643,P1015,3,3395,20,192.16,R001,Debit Card
10596,2024-02-15,C1524,P1028,2,324,15,92.17,R001,Net Banking
10605,2024-01-23,C1603,P1008,5,4823,15,199.22,R001,UPI
10606,2024-04-01,C1584,P1028,1,324,5,172.82,R001,Credit Card
10608,2024-04-12,C1200,P1021,3,3949,0,84.1,R001,UPI
10609,2024-02-28,C1299,P1020,2,1039,5,156.55,R001,Credit Card
10611,2024-02-16,C1173,P1036,3,1859,20,48.72,R001,Net Banking
10618,2024-01-24,C1680,P1008,5,4823,0,60.51,R001,Debit Card
10620,2024-06-14,C1846,P1039,3,3016,0,126.77,R001,UPI
10621,2024-05-30,C1327,P1033,4,1800,10,45.25,R001,COD
10622,2024-05-04,C1318,P1030,1,1701,10,167.32,R001,UPI
10624,2024-04-19,C1877,P1011,4,2225,0,76.39,R001,Debit Card
10626,2024-03-23,C1103,P1032,4,4368,10,124.11,R001,COD
10630,2024-01-02,C1627,P1033,3,1800,10,142.77,R001,Net Banking
10634,2024-02-03,C1817,P1014,2,2118,10,108.18,R001,COD
10637,2024-04-03,C1115,P1006,2,4451,10,44.64,R001,Credit Card
10642,2024-05-28,C1609,P1033,1,1800,15,120.78,R001,Net Banking
10644,2024-05-18,C1799,P1006,5,4451,0,160.39,R001,Net Banking
10652,2024-01-20,C1971,P1019,4,1941,0,98.19,R001,Credit Card
10655,2024-01-29,C1955,P1046,2,2728,15,106.05,R001,Credit Card
10656,2024-06-20,C1970,P1010,1,3789,0,119.54,R001,COD
10658,2024-01-17,C1605,P1020,5,1039,15,193.26,R001,Credit Card
10664,2024-05-01,C1466,P1022,1,3803,5,194.54,R001,Net Banking
10673,2024-01-10,C1979,P1039,2,3016,5,92.68,R001,COD
10677,2024-06-27,C1939,P1033,3,1800,5,36.5,R001,Credit Card
10679,2024-03-02,C1772,P1010,1,3789,15,199.45,R001,Net Banking
10680,2024-01-03,C1132,P1045,5,500,10,106.19,R001,UPI
10682,2024-03-20,C1302,P1045,1,500,10,114.86,R001,Net Banking
10683,2024-04-13,C1030,P1026,5,3408,5,185.01,R001,Credit Card
10684,2024-05-05,C1923,P1003,3,3872,5,148.2,R001,UPI
10687,2024-01-22,C1822,P1043,4,3422,5,180.58,R001,Net Banking
10690,2024-04-21,C1293,P1003,5,3872,20,177.38,R001,COD
10693,2024-04-16,C1694,P1026,4,3408,5,87.58,R001,Credit Card
10695,2024-04-03,C1273,P1031,2,2313,0,59.88,R001,COD
10696,2024-05-19,C1453,P1019,3,1941,15,80.76,R001,COD
10700,2024-03-28,C1108,P1031,4,2313,10,147.99,R001,UPI
10702,2024-06-10,C1375,P1048,2,2546,15,86.19,R001,Credit Card
10714,2024-03-16,C1209,P1017,2,4392,15,132.58,R001,Credit Card
10721,2024-04-04,C1911,P1018,2,4388,5,82.49,R001,Net Banking
10723,2024-03-05,C1243,P1017,2,4392,10,142.88,R001,Credit Card
10730,2024-03-21,C1045,P1016,2,3694,5,30.89,R001,Debit Card
10731,2024-01-06,C1767,P1000,2,687,5,25.59,R001,Credit Card
10732,2024-06-06,C1612,P1043,2,3422,5,49.63,R001,Credit Card
10733,2024-03-04,C1985,P1003,1,3872,5,51.67,R001,Debit Card
10734,2024-03-04,C1408,P1020,1,1039,0,35,R001,Debit Card
10737,2024-05-22,C1444,P1032,4,4368,0,37.97,R001,Credit Card
10738,2024-02-09,C1393,P1043,1,3422,5,178.91,R001,Net Banking
10740,2024-06-09,C1652,P1019,3,1941,5,121.85,R001,Net Banking
10747,2024-02-27,C1986,P1020,4,1039,5,198.11,R001,UPI
10748,2024-01-21,C1877,P1006,3,4451,0,116.46,R001,Debit Card
10749,2024-04-01,C1813,P1035,3,2408,0,31.7,R001,Net Banking
10751,2024-06-02,C1171,P1043,1,3422,20,80.74,R001,Credit Card
10770,2024-05-03,C1944,P1020,4,1039,0,26.31,R001,Debit Card
10773,2024-03-07,C1891,P1003,2,3872,20,112.43,R001,COD
10788,2024-01-11,C1377,P1000,4,687,10,111.38,R001,UPI
10792,2024-05-25,C1033,P1009,2,3193,20,97.04,R001,UPI
10800,2024-03-16,C1631,P1041,1,3836,10,52.98,R001,COD
10807,2024-06-16,C1376,P1016,4,3694,0,84.02,R001,Net Banking
10809,2024-02-10,C1540,P1041,3,3836,15,132.39,R001,Debit Card
10811,2024-03-13,C1998,P1030,4,1701,5,100.74,R001,Credit Card
10818,2024-05-28,C1830,P1009,3,3193,0,172.37,R001,Net Banking
10822,2024-06-29,C1615,P1017,1,4392,10,120.85,R001,Credit Card
10824,2024-02-20,C1054,P1045,5,500,0,70.98,R001,UPI
10830,2024-02-27,C1158,P1006,1,4451,20,187.23,R001,Net Banking
10835,2024-02-26,C1020,P1008,2,4823,10,168.23,R001,Net Banking
10836,2024-02-28,C1619,P1036,2,1859,20,192.9,R001,COD
10842,2024-01-11,C1616,P1001,4,3570,0,125.76,R001,Net Banking
10843,2024-05-27,C1450,P1001,1,3570,0,66.13,R001,Net Banking
10846,2024-01-23,C1614,P1016,1,3694,5,111.97,R001,Credit Card
10853,2024-06-13,C1262,P1001,1,3570,5,116.58,R001,UPI
10858,2024-02-21,C1103,P1042,5,1242,15,152.29,R001,UPI
10862,2024-01-19,C1311,P1000,1,687,20,122.19,R001,Debit Card
10864,2024-03-18,C1696,P1028,5,324,5,61.39,R001,UPI
10867,2024-05-18,C1491,P1047,4,4706,15,119.48,R001,Credit Card
10872,2024-02-16,C1781,P1012,5,3726,15,41.09,R001,Net Banking
10873,2024-02-26,C1210,P1012,3,3726,15,139.16,R001,COD
10877,2024-03-10,C1447,P1025,2,2588,10,163.73,R001,COD
10890,2024-02-08,C1475,P1032,2,4368,20,36.27,R001,Net Banking
10893,2024-06-23,C1966,P1006,4,4451,15,118.23,R001,Credit Card
10899,2024-05-22,C1182,P1018,2,4388,0,139.94,R001,COD
10902,2024-04-08,C1064,P1042,4,1242,0,115.56,R001,UPI
10903,2024-03-05,C1597,P1017,5,4392,5,132.57,R001,COD
10910,2024-03-17,C1254,P1030,4,1701,15,111.78,R001,Credit Card
10915,2024-02-16,C1782,P1011,5,2225,0,184.2,R001,COD
10921,2024-01-31,C1190,P1042,4,1242,15,53.5,R001,UPI
10924,2024-03-13,C1103,P1024,3,2816,10,160.31,R001,UPI
10926,2024-01-09,C1589,P1002,1,4339,15,48.54,R001,UPI
10929,2024-02-13,C1704,P1047,3,4706,10,52.69,R001,Credit Card
10933,2024-05-08,C1445,P1045,5,500,0,183.53,R001,Net Banking
10936,2024-04-30,C1556,P1044,4,523,10,90.3,R001,Net Banking
10941,2024-03-19,C1396,P1013,3,2756,0,50.53,R001,UPI
10943,2024-06-27,C1852,P1023,5,3513,0,131.23,R001,UPI
10944,2024-01-04,C1873,P1045,2,500,10,26.49,R001,Net Banking
10945,2024-02-22,C1009,P1031,2,2313,5,173.13,R001,COD
10948,2024-03-13,C1859,P1023,3,3513,20,109.34,R001,Net Banking
10957,2024-03-29,C1139,P1025,4,2588,15,109.43,R001,COD
10961,2024-03-22,C1717,P1032,2,4368,15,41.88,R001,COD
10964,2024-05-26,C1878,P1024,2,2816,0,34.36,R001,Debit Card
10966,2024-03-31,C1641,P1046,4,2728,5,100.43,R001,UPI
10973,2024-05-21,C1135,P1041,1,3836,5,91.71,R001,UPI
10975,2024-03-07,C1170,P1049,1,4020,15,161.9,R001,Debit Card
10976,2024-04-22,C1436,P1030,2,1701,5,64.45,R001,COD
10977,2024-05-21,C1863,P1045,1,500,5,46.35,R001,Net Banking
10980,2024-04-06,C1456,P1030,4,1701,20,77.54,R001,Net Banking
10986,2024-05-16,C1603,P1020,4,1039,10,120.41,R001,UPI
10989,2024-04-29,C1785,P1033,5,1800,5,181.68,R001,Credit Card
10991,2024-04-19,C1646,P1020,1,1039,5,29.06,R001,Credit Card
10992,2024-06-16,C1162,P1018,1,4388,0,109.41,R001,COD
10996,2024-03-09,C1700,P1020,4,1039,10,184.79,R001,Net Banking
10998,2024-03-29,C1154,P1022,1,3803,10,70,R001,Net Banking
11003,2024-04-09,C1702,P1036,2,1859,20,126.76,R001,Credit Card
11004,2024-05-27,C1042,P1045,5,500,20,185.95,R001,UPI
11008,2024-03-01,C1774,P1046,2,2728,15,191.89,R001,Debit Card
11010,2024-05-06,C1168,P1003,1,3872,5,120.23,R001,Net Banking
11015,2024-02-27,C1222,P1025,1,2588,15,50.7,R001,Debit Card
11016,2024-05-12,C1658,P1042,4,1242,5,102.3,R001,Net Banking
11019,2024-02-16,C1851,P1009,4,3193,20,77.65,R001,COD
11029,2024-05-24,C1536,P1004,3,2933,15,157.75,R001,COD
11032,2024-01-08,C1733,P1003,4,3872,5,131.79,R001,UPI
11039,2024-05-23,C1899,P1040,1,3363,15,48.13,R001,UPI
11040,2024-04-30,C1630,P1019,4,1941,15,64.37,R001,Debit Card
11046,2024-01-28,C1650,P1041,4,3836,15,178.52,R001,Net Banking
11048,2024-01-24,C1555,P1033,5,1800,10,96.85,R001,UPI
11051,2024-02-05,C1356,P1047,1,4706,15,160.89,R001,Credit Card
11054,2024-02-29,C1969,P1002,2,4339,10,162.12,R001,Debit Card
11056,2024-05-12,C1843,P1029,2,4723,20,22.96,R001,Credit Card
11066,2024-06-20,C1634,P1013,3,2756,20,168.07,R001,Debit Card
11068,2024-03-27,C1012,P1022,2,3803,20,197.45,R001,Credit Card
11069,2024-03-29,C1835,P1049,3,4020,20,173.55,R001,UPI
11071,2024-05-25,C1631,P1043,3,3422,10,128.36,R001,Credit Card
11074,2024-03-21,C1188,P1002,1,4339,20,53.24,R001,Credit Card
11080,2024-03-02,C1258,P1014,3,2118,0,92.84,R001,Net Banking
11087,2024-05-08,C1192,P1030,5,1701,5,156.16,R001,Debit Card
11090,2024-06-19,C1045,P1032,1,4368,0,157.36,R001,UPI
11095,2024-03-22,C1285,P1041,5,3836,20,98.55,R001,UPI
11097,2024-04-22,C1498,P1046,4,2728,5,150.12,R001,UPI
11107,2024-01-30,C1560,P1004,2,2933,5,146.36,R001,UPI
11114,2024-06-09,C1177,P1038,1,2937,5,70.96,R001,UPI
11122,2024-02-06,C1497,P1022,4,3803,10,70.55,R001,Credit Card
11128,2024-01-07,C1850,P1027,4,3348,15,67.49,R001,COD
11130,2024-06-26,C1191,P1038,1,2937,15,117.58,R001,Net Banking
11135,2024-06-21,C1396,P1005,5,3828,5,125.48,R001,Debit Card
11136,2024-04-20,C1081,P1021,1,3949,20,177.86,R001,Credit Card
11138,2024-05-14,C1359,P1007,2,4897,5,141,R001,Debit Card
11140,2024-04-23,C1121,P1030,3,1701,5,80.1,R001,Debit Card
11160,2024-01-27,C1268,P1011,4,2225,20,165.21,R001,Debit Card
11162,2024-02-24,C1667,P1043,4,3422,20,129.38,R001,UPI
11169,2024-02-19,C1005,P1028,3,324,20,84.74,R001,COD
11186,2024-03-15,C1172,P1031,2,2313,5,180.25,R001,COD
11190,2024-04-11,C1742,P1021,4,3949,10,59.32,R001,Credit Card
11196,2024-04-06,C1300,P1019,1,1941,5,118.58,R001,Net Banking
11204,2024-05-28,C1820,P1025,5,2588,20,139.17,R001,UPI
11205,2024-03-31,C1423,P1047,3,4706,20,32.2,R001,COD
11210,2024-02-21,C1809,P1026,4,3408,15,39.4,R001,COD
11211,2024-03-23,C1841,P1009,2,3193,20,172.29,R001,Credit Card
11212,2024-06-08,C1713,P1001,5,3570,5,100.42,R001,UPI
11215,2024-04-19,C1917,P1022,3,3803,20,119.76,R001,COD
11216,2024-06-24,C1802,P1024,4,2816,15,78.68,R001,Debit Card
11224,2024-05-06,C1510,P1020,1,1039,10,31.47,R001,Debit Card
11230,2024-06-09,C1726,P1000,2,687,10,176.64,R001,Debit Card
11233,2024-05-13,C1362,P1024,4,2816,0,177.64,R001,UPI
11239,2024-02-23,C1370,P1041,2,3836,15,64.97,R001,COD
11244,2024-03-05,C1557,P1004,3,2933,15,161,R001,Debit Card
11249,2024-01-15,C1786,P1007,1,4897,20,165.54,R001,COD
11253,2024-06-24,C1707,P1013,2,2756,20,32.82,R001,UPI
11255,2024-03-30,C1557,P1037,1,4039,5,35.79,R001,Credit Card
11256,2024-01-28,C1585,P1001,3,3570,10,164.79,R001,Debit Card
11258,2024-06-04,C1750,P1007,3,4897,5,115.69,R001,UPI
11261,2024-03-07,C1233,P1037,2,4039,10,164.66,R001,UPI
11275,2024-05-16,C1964,P1021,5,3949,5,158.12,R001,UPI
11279,2024-01-22,C1284,P1049,5,4020,0,45.27,R001,COD
11285,2024-01-16,C1468,P1043,1,3422,5,160.09,R001,COD
11290,2024-01-31,C1416,P1026,3,3408,20,140.17,R001,Net Banking
11303,2024-03-19,C1296,P1045,3,500,0,125.25,R001,Debit Card
11307,2024-04-26,C1895,P1032,4,4368,0,157.83,R001,Net Banking
11308,2024-01-20,C1351,P1022,1,3803,20,27.2,R001,COD
11320,2024-06-24,C1684,P1017,2,4392,15,87.05,R001,Debit Card
11335,2024-02-19,C1736,P1006,2,4451,15,68.38,R001,Credit Card
11338,2024-03-06,C1592,P1045,2,500,0,86,R001,COD
11343,2024-01-03,C1131,P1008,3,4823,15,60.66,R001,Credit Card
11347,2024-03-28,C1543,P1048,5,2546,20,46.26,R001,COD
11352,2024-05-26,C1998,P1046,3,2728,0,131.6,R001,Credit Card
11354,2024-05-01,C1645,P1005,5,3828,5,46.49,R001,COD
11359,2024-05-26,C1555,P1044,4,523,20,142.82,R001,Debit Card
11360,2024-05-04,C1368,P1010,3,3789,5,189.53,R001,Debit Card
11361,2024-03-01,C1157,P1049,4,4020,20,166.88,R001,Net Banking
11362,2024-02-04,C1363,P1024,4,2816,0,166.25,R001,COD
11367,2024-05-26,C1988,P1009,3,3193,15,147.11,R001,UPI
11370,2024-02-21,C1850,P1035,3,2408,0,37.56,R001,Credit Card
11371,2024-03-15,C1352,P1019,3,1941,15,119.76,R001,Debit Card
11373,2024-04-20,C1808,P1003,4,3872,15,159.09,R001,UPI
11380,2024-04-03,C1017,P1023,1,3513,20,20.71,R001,UPI
11385,2024-01-25,C1444,P1009,4,3193,15,62.91,R001,COD
11386,2024-04-08,C1609,P1013,1,2756,5,151.15,R001,UPI
11393,2024-04-29,C1412,P1022,1,3803,10,192.16,R001,Net Banking
11396,2024-04-27,C1823,P1048,3,2546,10,178.07,R001,Net Banking
11405,2024-02-28,C1906,P1016,5,3694,0,162.77,R001,UPI
11412,2024-06-16,C1456,P1003,5,3872,5,90.89,R001,Credit Card
11417,2024-04-27,C1460,P1048,3,2546,0,24.29,R001,UPI
11425,2024-03-27,C1773,P1012,5,3726,15,172.4,R001,UPI
11429,2024-02-10,C1697,P1023,2,3513,20,56.4,R001,COD
11435,2024-02-06,C1334,P1034,2,4257,0,94.69,R001,Credit Card
11440,2024-01-06,C1447,P1000,5,687,5,120.32,R001,Net Banking
11441,2024-03-21,C1119,P1012,1,3726,0,99.71,R001,Debit Card
11448,2024-01-05,C1346,P1027,4,3348,5,113.42,R001,Debit Card
11450,2024-04-29,C1448,P1020,2,1039,15,162.85,R001,Net Banking
11457,2024-05-13,C1600,P1041,1,3836,5,48.13,R001,COD
11458,2024-01-11,C1238,P1038,4,2937,5,92.9,R001,Net Banking
11464,2024-01-11,C1070,P1019,1,1941,10,92.67,R001,UPI
